,Date,FEIcm2,FEIcm3,FEIcm4,FEIcm5,FEIcm6,FEIcm7,FEIcm8,FEIcm9,FEIcm10,FEIcm11,FEIcm12,FEIcm13,FEIcm14,FEIcm15,FEIcm16,FEIcm17,FEIcm18,FEIcm19,Inverse of FEIcm2,Inverse of FEIcm3,Inverse of FEIcm4,Inverse of FEIcm5,Inverse of FEIcm6,Inverse of FEIcm7,Inverse of FEIcm8,Inverse of FEIcm9,Inverse of FEIcm10,Inverse of FEIcm11,Inverse of FEIcm12,Inverse of FEIcm13,Inverse of FEIcm14,Inverse of FEIcm15,Inverse of FEIcm16,Inverse of FEIcm17,Inverse of FEIcm18,Inverse of FEIcm19
16,2023-01-242023-01-252023-01-26,0.8500000000000001,0.11000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.06,0.06,0.06,0.06,0.0,0.0,0.19,0.30000000000000004,0.39,0.33,0.23000000000000004,0.12,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2023-01-252023-01-262023-01-27,0.8700000000000001,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.06,0.06,0.06,0.06,0.0,0.0,0.19,0.30000000000000004,0.38,0.32,0.22000000000000003,0.12,0.08,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2023-01-262023-01-272023-01-30,0.9099999999999999,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.06,0.06,0.06,0.06,0.0,0.0,0.16999999999999998,0.30000000000000004,0.37,0.31000000000000005,0.22000000000000003,0.12,0.09,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2023-01-272023-01-302023-01-31,0.9299999999999999,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.06,0.06,0.06,0.06,0.0,0.0,0.16999999999999998,0.30000000000000004,0.36,0.30000000000000004,0.21000000000000002,0.12,0.09,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2023-01-302023-01-312023-02-01,0.95,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.06,0.06,0.06,0.05,0.0,0.0,0.16999999999999998,0.30000000000000004,0.37,0.30000000000000004,0.21000000000000002,0.12,0.09,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2023-01-312023-02-012023-02-02,0.89,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.06,0.06,0.06,0.05,0.0,0.0,0.19,0.31,0.39,0.31,0.22000000000000003,0.12,0.09,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2023-02-012023-02-022023-02-03,0.8500000000000001,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.05,0.06,0.06,0.06,0.05,0.0,0.0,0.2,0.33,0.41000000000000003,0.32,0.22000000000000003,0.11,0.08,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2023-02-022023-02-032023-02-06,0.8400000000000001,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.2,0.33999999999999997,0.41000000000000003,0.32,0.22000000000000003,0.1,0.07,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2023-02-032023-02-062023-02-07,0.9000000000000001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.19,0.33999999999999997,0.4,0.31000000000000005,0.21000000000000002,0.1,0.07,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2023-02-062023-02-072023-02-08,0.96,0.11000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.06,0.06,0.05,0.05,0.0,0.0,0.18,0.33,0.39,0.30000000000000004,0.21000000000000002,0.1,0.08,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2023-02-072023-02-082023-02-09,0.97,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.06,0.06,0.04,0.04,0.0,0.0,0.18,0.33,0.39,0.30000000000000004,0.21000000000000002,0.11000000000000001,0.09,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
